dataset,method,experiment_seed,fold,internal_seed,validation_macro_f1,program,program_length_chars,function_call_count,max_parenthesis_depth,unique_operator_count,top_feature_combiner,image_terminal_count,family_gradient_edge,family_texture_local_descriptor,family_intensity_statistics,family_smoothing_filtering,family_spatial_region,op__FC4,op__Hist,op__HOG_R,op__GauD_R,op__RegionR,op__HOG,op__SIFT_R,op__Med_R,op__Sobel_R,op__Min_R,op__RegionS,op__uLBP_R,op__SobelX_R,op__SobelY_R,op__LoG1_R,op__Mean,op__SIFT,op__Gau_R,op__LoG2_R,op__Max_R,op__Mean_R,op__Lap_R,op__DIF_R,op__GauD,op__LoG1,op__Gau,op__FC2,op__DIF,op__Min,op__SobelX,op__Med,op__Sobel,op__Max,op__uLBP,op__FC3,op__Lap,op__RIF_R,op__Hist_R,op__RIF,op__SobelY,op__LoG2
FEI,gp_original,43,1,43,1.0,"FC4(HOG(Image), uLBP(Image), HOG_R(Min_R(RegionS(Image, 3, 43, 43))), DIF(Image))",81,7,4,7,FC4,4,1,1,1,0,1,1.0,,1.0,,,1.0,,,,1.0,1.0,,,,,,,,,,,,,,,,,1.0,,,,,,1.0,,,,,,,
FEI,gp_original,43,2,44,1.0,"FC2(uLBP(Image), SIFT(LoG1(Max(Max(Image)))))",45,6,5,5,FC2,2,1,1,1,0,0,,,,,,,,,,,,,,,,,1.0,,,,,,,,1.0,,1.0,,,,,,2.0,1.0,,,,,,,
FEI,gp_original,43,3,45,1.0,"FC3(DIF(Image), SIFT(Image), SIFT(Image))",41,4,2,3,FC3,3,1,1,0,0,0,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,1.0,,,,,,,1.0,,,,,,
FEI,gp_original,43,4,46,1.0,"FC4(HOG_R(Gau_R(Mean_R(Min_R(GauD_R(Max_R(Gau_R(RegionR(Image, 22, 22, 34, 37), 3)), 2, 2, 0))), 1)), SIFT(Min(Min(SobelX(Image)))), SIFT(Med(GauD(Sobel(Image), 3, 0, 0))), SIFT(Image))",185,18,9,14,FC4,4,1,1,1,1,1,1.0,,1.0,1.0,1.0,,,,,1.0,,,,,,,3.0,2.0,,1.0,1.0,,,1.0,,,,,2.0,1.0,1.0,1.0,,,,,,,,,
FEI,gp_original,43,5,47,1.0,"FC4(SIFT(Image), SIFT(Image), SIFT_R(Med_R(SobelY_R(RegionS(Sobel(Image), 41, 16, 57)))), SIFT_R(LoG2_R(Lap_R(Mean_R(Mean_R(RegionR(Lap(Image), 54, 57, 30, 57)))))))",165,15,8,12,FC4,4,1,1,1,0,1,1.0,,,,1.0,,2.0,1.0,,,1.0,,,1.0,,,2.0,,1.0,,2.0,1.0,,,,,,,,,,1.0,,,,1.0,,,,,
KSDD2,gp_modified,42,1,42,0.8137060844131552,"FC4(Hist(Image), DIF(SobelY(Max(Gau(Min(Image), 1)))), SIFT(Max(Max(LoG1(GauD(Image, 1, 2, 1))))), RIF_R(Gau_R(RegionS(Mean(Gau(Image, 3)), 60, 7, 11), 1)))",156,17,6,14,FC4,4,1,1,1,1,1,1.0,1.0,,,,,,,,,1.0,,,,,1.0,1.0,1.0,,,,,,1.0,1.0,2.0,,1.0,1.0,,,,3.0,,,,1.0,,,1.0,
KSDD2,gp_modified,42,2,43,0.7745666513268906,"FC4(Hist(Lap(GauD(Image, 1, 2, 0))), RIF(SobelY(Med(Image))), DIF_R(Max_R(GauD_R(Max_R(RegionR(Image, 14, 14, 29, 6)), 1, 2, 1))), uLBP(SobelX(SobelY(Lap(Image)))))",164,16,6,13,FC4,4,1,1,1,0,1,1.0,1.0,,1.0,1.0,,,,,,,,,,,,,,,2.0,,,1.0,1.0,,,,,,1.0,1.0,,,1.0,,2.0,,,1.0,2.0,
KSDD2,gp_modified,42,3,44,0.8114631123480681,"FC4(Hist_R(Gau_R(RegionR(Image, 11, 42, 42, 28), 2)), uLBP(Image), uLBP_R(Gau_R(LoG2_R(SobelY_R(Lap_R(Mean_R(Med_R(Max_R(RegionR(Image, 11, 42, 42, 28))))))), 1)), Hist(Image))",176,15,10,13,FC4,4,1,1,1,1,1,1.0,1.0,,,2.0,,,1.0,,,,1.0,,1.0,,,,2.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,1.0,,,,1.0,,,
KSDD2,gp_modified,42,4,45,0.8547851308738736,"FC4(Hist(Image), Hist(Image), Hist(Image), DIF(Image))",54,5,2,3,FC4,4,1,0,1,0,0,1.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,
KSDD2,gp_modified,42,5,46,0.8227671301942455,"FC2(Hist(Image), Hist(Image))",29,3,2,2,FC2,2,0,0,1,0,0,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,
KSDD2,gp_modified,43,1,43,0.8052084968932953,"FC4(Hist(Lap(GauD(Image, 1, 2, 0))), RIF(SobelY(Med(Image))), Hist(Lap(GauD(Image, 1, 2, 0))), Hist_R(Min_R(LoG1_R(RegionR(Lap(Image), 0, 44, 7, 12)))))",152,15,6,11,FC4,4,1,0,1,0,1,1.0,2.0,,,1.0,,,,,1.0,,,,,1.0,,,,,,,,,2.0,,,,,,,1.0,,,,,3.0,,1.0,1.0,1.0,
KSDD2,gp_modified,43,2,44,0.8050887021475257,"FC4(Hist_R(Gau_R(RegionS(Image, 23, 22, 23), 2)), uLBP(Image), uLBP_R(Gau_R(LoG2_R(SobelY_R(Lap_R(Mean_R(Med_R(LoG2_R(SobelY_R(Lap_R(Mean_R(Med_R(Max_R(RegionR(Image, 11, 42, 42, 28)))))))))))), 1)), Hist(Image))",212,20,15,14,FC4,4,1,1,1,1,1,1.0,1.0,,,1.0,,,2.0,,,1.0,1.0,,2.0,,,,2.0,2.0,1.0,2.0,2.0,,,,,,,,,,,,1.0,,,,1.0,,,
